district_name,dem_votes,rep_votes
AL-01,48278,103758
AL-02,54692,113103
AL-03,52816,103558
AL-04,0,132831
AL-05,0,115338
AL-06,42291,135945
AL-07,133687,0
AK-01,114596,142566
AZ-01,97391,87723
AZ-02,109543,109704
AZ-03,58192,46185
AZ-04,45179,122560
AZ-05,54596,124867
AZ-06,70198,129578
AZ-07,54235,0
AZ-08,0,128710
AZ-09,88609,67841
AR-01,63555,124139
AR-02,103477,123073
AR-03,0,151630
AR-04,87742,110789
CA-01,84320,132052
CA-02,163124,54400
CA-03,79224,71036
CA-04,0,211134
CA-05,129613,0
CA-06,97008,36448
CA-07,92521,91066
CA-08,37056,77480
CA-09,63475,57729
CA-10,55123,70582
CA-11,117502,57160
CA-12,160067,32197
CA-13,168491,21940
CA-14,114389,34757
CA-15,99756,43148
CA-16,46277,44943
CA-17,134408,0
CA-18,133060,63326
CA-19,127788,0
CA-20,106034,0
CA-21,33470,45907
CA-22,37289,96053
CA-23,33726,100317
CA-24,103228,95566
CA-25,0,114072
CA-26,87176,82653
CA-27,75728,51852
CA-28,91996,0
CA-29,50096,17045
CA-30,86568,45315
CA-31,51622,48162
CA-32,50353,34053
CA-33,108331,74700
CA-34,61607,0
CA-35,62255,0
CA-36,72682,61457
CA-37,96787,18051
CA-38,58192,40288
CA-39,41906,91319
CA-40,49379,0
CA-41,46948,35936
CA-42,38850,74540
CA-43,69681,28521
CA-44,59670,0
CA-45,56819,106083
CA-46,49738,33577
CA-47,69091,54309
CA-48,62713,112082
CA-49,64981,98161
CA-50,45302,111997
CA-51,56373,25577
CA-52,98826,92746
CA-53,87104,60940
CO-01,183281,80682
CO-02,196300,149645
CO-03,100364,163011
CO-04,83727,185292
CO-05,105673,157182
CO-06,118847,143467
CO-07,148225,120918
CT-01,135686,78520
CT-02,141851,80842
CT-03,141197,69223
CT-04,106791,91928
CT-05,112550,96625
DE-01,137251,85146
FL-01,54976,165086
FL-02,126096,123262
FL-03,73910,148691
FL-04,0,177887
FL-05,112340,59237
FL-06,99563,166254
FL-07,73011,144474
FL-08,93724,180728
FL-09,93850,74963
FL-10,89426,143128
FL-11,90786,181508
FL-12,0,0
FL-13,0,168172
FL-14,0,0
FL-15,84832,128750
FL-16,105483,169126
FL-17,82263,141493
FL-18,151478,101896
FL-19,80824,159354
FL-20,128498,28968
FL-21,153395,0
FL-22,125404,90685
FL-23,103269,61519
FL-24,129192,15239
FL-25,0,0
FL-26,78306,83031
FL-27,0,0
GA-01,61175,95337
GA-02,96363,66537
GA-03,0,156277
GA-04,161211,0
GA-05,170326,0
GA-06,71486,139018
GA-07,60112,113557
GA-08,0,129938
GA-09,34988,146059
GA-10,65777,130703
