district_name,total_votes
AL-01,215893
AL-02,276584
AL-03,287104
AL-04,239444
AL-05,308326
AL-06,329306
AL-07,233028
AK-01,308198
AZ-01,280710
AZ-02,315679
AZ-03,151035
AZ-04,284783
AZ-05,320124
AZ-06,324444
AZ-07,158811
AZ-08,298971
AZ-09,277507
AR-01,241047
AR-02,302464
AR-03,280907
AR-04,244159
CA-01,314036
CA-02,330766
CA-03,256966
CA-04,350978
CA-05,292091
CA-06,235413
CA-07,297301
CA-08,220007
CA-09,232155
CA-10,241141
CA-11,298209
CA-12,338845
CA-13,322871
CA-14,286447
CA-15,269197
CA-16,167956
CA-17,233192
CA-18,323930
CA-19,245863
CA-20,255791
CA-21,132408
CA-22,234966
CA-23,241584
CA-24,310814
CA-25,261161
CA-26,280307
CA-27,250632
CA-28,270409
CA-29,171824
CA-30,282604
CA-31,215936
CA-32,186646
CA-33,330219
CA-34,159156
CA-35,171353
CA-36,232617
CA-37,237272
CA-38,232114
CA-39,263456
CA-40,149297
CA-41,197323
CA-42,254236
CA-43,219516
CA-44,178413
CA-45,311849
CA-46,164593
CA-47,242868
CA-48,306416
CA-49,310155
CA-50,283583
CA-51,199524
CA-52,320656
CA-53,296956
CO-01,379036
CO-02,457312
CO-03,374037
CO-04,390635
CO-05,362114
CO-06,376417
CO-07,362010
CT-01,312925
CT-02,330257
CT-03,309379
CT-04,313540
CT-05,309082
DE-01,420640
FL-01,369186
FL-02,343362
FL-03,342700
FL-04,409662
FL-05,302874
FL-06,364570
FL-07,353655
FL-08,390561
FL-09,339761
FL-10,305989
FL-11,394719
FL-12,369669
FL-13,355842
FL-14,316877
FL-15,318474
FL-16,385916
FL-17,338675
FL-18,375918
FL-19,363166
FL-20,277560
FL-21,335861
FL-22,337850
FL-23,323120
FL-24,0
FL-25,253240
FL-26,280542
FL-27,287677
GA-01,211112
GA-02,242599
GA-03,303187
GA-04,290739
GA-05,300549
GA-06,326005
GA-07,288301
GA-08,257208
GA-09,256535
GA-10,244611
GA-11,323318
GA-12,258912
GA-13,252833
GA-14,216953
HI-01,202357
HI-02,210516
ID-01,355357
ID-02,326237
IL-01,315862
IL-02,294522
IL-03,225411
IL-04,171297
IL-05,313724
IL-06,352146
IL-07,297466
IL-08,248571
IL-09,326948
IL-10,285996
IL-11,275573
IL-12,313002
IL-13,314394
IL-14,338097
IL-15,274554
